Visual_Cluster_ID,1,2,3,4,5,6,7,8,9,All
0,19,0,0,0,0,0,0,0,2,21
1,5,0,0,1,0,0,1,1,13,21
2,0,6,11,2,2,0,0,0,0,21
3,0,0,0,0,0,2,7,6,6,21
4,11,1,0,0,0,1,0,0,5,18
5,15,4,1,0,0,0,0,0,0,20
All,50,11,12,3,2,3,8,7,26,122
