Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,0,2,1,0,0,1,19,23
1,4,11,0,1,2,0,3,21
2,7,3,6,0,1,1,0,18
3,4,0,0,0,0,0,17,21
4,4,0,0,0,0,12,3,19
5,2,4,0,0,1,2,10,19
All,21,20,7,1,4,16,52,121
