Visual_Cluster_ID,Asian,Black,Indian,Middle Eastern,Unclear,White,All
0,2,0,2,0,5,3,12
1,0,0,0,0,0,3,3
2,1,3,0,3,0,11,18
3,4,0,0,0,0,17,21
4,5,7,5,1,0,0,18
5,4,10,0,0,0,6,20
6,4,1,0,3,0,11,19
7,1,15,0,0,0,3,19
8,2,2,0,0,0,20,24
9,10,0,0,0,15,8,33
All,33,38,7,7,20,82,187
