Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,Unclear,White,All
0,0,1,4,0,0,0,18,23
1,1,11,1,0,3,0,5,21
2,0,6,12,0,0,0,0,18
3,4,0,0,0,0,0,17,21
4,1,0,0,0,0,11,7,19
5,0,3,1,1,2,0,12,19
All,6,21,18,1,5,11,59,121
