Visual_Cluster_ID,Asian,Black,Indian,Latino Hispanic,Middle Eastern,White,All
0,1,1,0,1,1,8,12
1,0,1,0,0,0,2,3
2,0,2,0,2,3,11,18
3,4,0,0,3,0,14,21
4,1,2,2,0,3,10,18
5,4,6,0,2,1,7,20
6,1,3,0,4,1,10,19
7,1,8,1,0,3,6,19
8,0,0,1,3,0,20,24
9,1,1,1,1,0,29,33
All,13,24,5,16,12,117,187
