Visual_Cluster_ID,3,5,6,7,8,All
0,5,15,1,0,0,21
1,0,11,10,0,0,21
2,0,8,13,0,0,21
3,0,0,3,8,10,21
4,0,12,9,0,0,21
5,12,9,0,0,0,21
All,17,55,36,8,10,126
